Unnamed: 0,Nom,Lien,Début,Fin,Distance,Type voie,Nature voie,Revêtement,Carte,Coordonnées de début,Coordonnées de fin,Coordonnées milieu,Énergie produite annuelle (kWh / m2 de panneau)
12,Voie Verte de la vallée du Lot Douelle-Mercuès,https://www.af3v.org/les-voies-vertes/voies/28-voie-verte-de-la-vallee-du-lot-douelle-mercues,DOUELLE,MERCUES,"5,0km",Voie verte lisse,Voie ferrée,Stabilisé peu roulant,"https://sig.af3v.org/index.php/view/embed/?repository=rep1&project=veloroutes&bbox=1.35638702402979,44.4798760681002,1.4066408921258202,44.495465&crs=EPSG:4326","('1.35638702402979', '44.4798760681002')","('1.4066408921258202', '44.495465')","(1.381513958077805, 44.487670534050096)",269.74
13,D1215 - Voie Verte de Talais (D1215) à l'Océan,https://www.af3v.org/les-voies-vertes/voies/337-voie-verte-de-talais-d1215-a-l-ocean,GRAYAN ET L HOPITAL,SOULAC SUR MER,"5,1km",Voie verte lisse,Piste,Enrobé lisse,"https://sig.af3v.org/index.php/view/embed/?repository=rep1&project=veloroutes&bbox=-1.135331,45.458547,-1.070397,45.465997&crs=EPSG:4326","('-1.135331', '45.458547')","('-1.070397', '45.465997')","(-1.102864, 45.462272)",275.82
14,"EV5-V32 - Via Romea Francigena / Véloroute Lille-Paris, de Angres à Lens",https://www.af3v.org/les-voies-vertes/voies/710-via-romea-francigena-veloroute-lille-paris-de-angres-a-lens,ANGRES,LENS,"5,2km",Voie verte lisse,Sentier,Bitume,"https://sig.af3v.org/index.php/view/embed/?repository=rep1&project=veloroutes&bbox=2.76848006758006,50.40525899999999,2.829722,50.424524999999996&crs=EPSG:4326","('2.76848006758006', '50.40525899999999')","('2.829722', '50.424524999999996')","(2.7991010337900297, 50.414891999999995)",267.31
15,Voie de Lexos,https://www.af3v.org/les-voies-vertes/voies/391-voie-de-lexos,MONTAUBAN,MONTAUBAN,"5,2km",Voie verte lisse,Voie ferrée,Stabilisé bien roulant,"https://sig.af3v.org/index.php/view/embed/?repository=rep1&project=veloroutes&bbox=1.324089,44.02196399999998,1.378202,44.029894999999996&crs=EPSG:4326","('1.324089', '44.02196399999998')","('1.378202', '44.029894999999996')","(1.3511454999999999, 44.02592949999999)",252.4
16,RD600 - Voie Verte Le Tacot (RD 600),https://www.af3v.org/les-voies-vertes/voies/202-voie-verte-le-tacot-rd-600,ST MARTIN EN HAUT,LARAJASSE,"5,8km",Voie verte lisse,Route,Enrobé lisse,"https://sig.af3v.org/index.php/view/embed/?repository=rep1&project=veloroutes&bbox=4.525369,45.62873,4.56394,45.658778&crs=EPSG:4326","('4.525369', '45.62873')","('4.56394', '45.658778')","(4.5446545, 45.643754)",252.7
17,Voie Verte des Bois Francs,https://www.af3v.org/les-voies-vertes/voies/378-voie-verte-des-bois-francs,VERNEUIL SUR AVRE,LES BARILS,"6,1km",Voie verte lisse,Sentier,Enrobé lisse,"https://sig.af3v.org/index.php/view/embed/?repository=rep1&project=veloroutes&bbox=0.832472,48.716592,0.908376,48.734528&crs=EPSG:4326","('0.832472', '48.716592')","('0.908376', '48.734528')","(0.870424, 48.72556)",270.65
18,Voie Verte de l’Ennemane,https://www.af3v.org/les-voies-vertes/voies/517-voie-verte-de-l-ennemane,REMILLY AILLICOURT,RAUCOURT ET FLABA,"6,1km",Voie verte lisse,Français,Enrobé,"https://sig.af3v.org/index.php/view/embed/?repository=rep1&project=veloroutes&bbox=4.954576,49.608541,4.992835981108932,49.65498578073033&crs=EPSG:4326","('4.954576', '49.608541')","('4.992835981108932', '49.65498578073033')","(4.973705990554466, 49.631763390365165)",268.53
19,Voie Verte Boucle de la Moselle tronçon 2,https://www.af3v.org/les-voies-vertes/voies/30-voie-verte-boucle-de-la-moselle-troncon-2,GONDREVILLE,TOUL,"6,1km",Voie verte lisse,Sentier,Enrobé lisse,"https://sig.af3v.org/index.php/view/embed/?repository=rep1&project=veloroutes&bbox=5.892032999999999,48.65889899999999,5.943823,48.691527&crs=EPSG:4326","('5.892032999999999', '48.65889899999999')","('5.943823', '48.691527')","(5.917928, 48.675213)",258.49
20,V86 - Voie Verte de Flagnac à Bouquiès (La Vallée du Lot à vélo V86),https://www.af3v.org/les-voies-vertes/voies/551-voie-verte-de-flagnac-a-bouquies-la-vallee-du-lot-a-velo-v86,FLAGNAC,DECAZEVILLE,"6,6km",Voie verte lisse,Rivière,Enduit gravillonné,"https://sig.af3v.org/index.php/view/embed/?repository=rep1&project=veloroutes&bbox=2.228577,44.581546,2.25054077907181,44.6086921707759&crs=EPSG:4326","('2.228577', '44.581546')","('2.25054077907181', '44.6086921707759')","(2.239558889535905, 44.59511908538795)",248.14
21,Voie Verte de Toulouse à Portet par les bords de la Garonne (V83),https://www.af3v.org/les-voies-vertes/voies/452-voie-verte-de-toulouse-a-portet-par-les-bords-de-la-garonne-v83,TOULOUSE,TOULOUSE,"6,6km",Voie verte lisse,Rivière,Enrobé lisse,"https://sig.af3v.org/index.php/view/embed/?repository=rep1&project=veloroutes&bbox=1.42625607139507,43.54539276346439,1.43775,43.599025&crs=EPSG:4326","('1.42625607139507', '43.54539276346439')","('1.43775', '43.599025')","(1.432003035697535, 43.572208881732195)",240.82
