Unnamed: 0,Nom,Lien,Début,Fin,Distance,Type voie,Nature voie,Revêtement,Carte,Coordonnées de début,Coordonnées de fin,Coordonnées milieu,Énergie produite annuelle (kWh / m2 de panneau)
52,Voie Verte des Kaolins,https://www.af3v.org/les-voies-vertes/voies/531-voie-verte-des-kaolins,LORIENT,PLOEMEUR,"10,1km",Voie verte lisse,Ancienne voie ferrée,Enrobé lisse,"https://sig.af3v.org/index.php/view/embed/?repository=rep1&project=veloroutes&bbox=-3.47165,47.711279,-3.391004,47.757823&crs=EPSG:4326","('-3.47165', '47.711279')","('-3.391004', '47.757823')","(-3.431327, 47.734550999999996)",256.37
53,"EV6 - de l'Atlantique à la Mer Noire, de Cuffy (pont de Guétin) à Nevers",https://www.af3v.org/les-voies-vertes/voies/149-ev6-de-l-atlantique-a-la-mer-noire-de-cuffy-pont-de-guetin-a-nevers,CUFFY,NEVERS,"10,3km",Voie verte lisse,Canal,Enduit gravillonné,"https://sig.af3v.org/index.php/view/embed/?repository=rep1&project=veloroutes&bbox=3.069423,46.94163799999999,3.1821460000000004,46.959664999999994&crs=EPSG:4326","('3.069423', '46.94163799999999')","('3.1821460000000004', '46.959664999999994')","(3.1257845, 46.95065149999999)",279.47
54,Piste du Vignac,https://www.af3v.org/les-voies-vertes/voies/263-piste-du-vignac,LEVIGNACQ,LIT ET MIXE,"10,3km",Voie verte lisse,Voie ferrée,Enrobé lisse,"https://sig.af3v.org/index.php/view/embed/?repository=rep1&project=veloroutes&bbox=-1.250016,44.001656,-1.139943,44.031059&crs=EPSG:4326","('-1.250016', '44.001656')","('-1.139943', '44.031059')","(-1.1949795, 44.0163575)",272.77
55,Voie Verte Itinéraire Airbus A380 tronçon de l'Isle-Jourdain,https://www.af3v.org/les-voies-vertes/voies/89-voie-verte-itineraire-airbus-a380-troncon-de-l-isle-jourdain,L ISLE JOURDAIN,STE LIVRADE SUR LOT,"10,4km",Voie verte lisse,Route,Enrobé lisse,"https://sig.af3v.org/index.php/view/embed/?repository=rep1&project=veloroutes&bbox=1.0659905330292,43.61480529346401,1.1510371018782173,43.646046&crs=EPSG:4326","('1.0659905330292', '43.61480529346401')","('1.1510371018782173', '43.646046')","(1.1085138174537086, 43.63042564673201)",246.32
56,Voie Verte Portes Bonheur - Chemin des Carrières,https://www.af3v.org/les-voies-vertes/voies/760-voie-verte-portes-bonheur-chemin-des-carrieres,ROSHEIM,ST NABOR,"10,4km",Voie verte lisse,Ancienne voie ferrée,enrobé,"https://sig.af3v.org/index.php/view/embed/?repository=rep1&project=veloroutes&bbox=7.420909087169719,48.44770620047875,7.484082544099548,48.501786343443065&crs=EPSG:4326","('7.420909087169719', '48.44770620047875')","('7.484082544099548', '48.501786343443065')","(7.452495815634634, 48.47474627196091)",251.48
57,Véloroute - Voie Verte de l'Adour Maritime,https://www.af3v.org/les-voies-vertes/voies/450-veloroute-voie-verte-de-l-adour-maritime,ST LAURENT DE GOSSE,TARNOS,"10,5km",Voie verte lisse,Rivière,Enrobé lisse,"https://sig.af3v.org/index.php/view/embed/?repository=rep1&project=veloroutes&bbox=-1.419377,43.496445,-1.29305,43.505838&crs=EPSG:4326","('-1.419377', '43.496445')","('-1.29305', '43.505838')","(-1.3562135, 43.5011415)",271.26
58,Voies du Plan Vert de Chartres,https://www.af3v.org/les-voies-vertes/voies/339-voies-du-plan-vert-de-chartres,ST PREST,LUISANT,"10,5km",Voie verte lisse,Rivière,Enrobé lisse,"https://sig.af3v.org/index.php/view/embed/?repository=rep1&project=veloroutes&bbox=1.4802579999999999,48.42531164780694,1.517836,48.484151&crs=EPSG:4326","('1.4802579999999999', '48.42531164780694')","('1.517836', '48.484151')","(1.499047, 48.454731323903474)",271.58
59,"V50 / V52 - La Voie Bleue, Moselle-Saône à vélo, de Laneuveville-devant-Nancy à Méréville / Voie Verte Boucle de la Moselle - secteur Sud-Est",https://www.af3v.org/les-voies-vertes/voies/823-la-voie-bleue-moselle-saone-a-velo-de-laneuveville-devant-nancy-a-mereville-voie-verte-boucle-de-la-moselle-secteur-sud-est,LANEUVEVILLE DEVANT NANCY,MEREVILLE,"10,7km",Voie verte lisse,piste cyclable,enrobé,"https://sig.af3v.org/index.php/view/embed/?repository=rep1&project=veloroutes&bbox=6.15381,48.601507000000005,6.232644,48.65979&crs=EPSG:4326","('6.15381', '48.601507000000005')","('6.232644', '48.65979')","(6.193227, 48.63064850000001)",258.17
60,Véloroute-Voie Verte de la Vallée d’Ossau,https://www.af3v.org/les-voies-vertes/voies/1099-veloroute-voie-verte-de-la-vallee-d-ossau,BUZY,BIELLE,"10,9km",Voie verte lisse,Voie Verte,Enrobé,"https://sig.af3v.org/index.php/view/embed/?repository=rep1&project=veloroutes&bbox=-0.45721005880948,43.060079301039906,-0.420150051629905,43.14802433661231&crs=EPSG:4326","('-0.45721005880948', '43.060079301039906')","('-0.420150051629905', '43.14802433661231')","(-0.4386800552196925, 43.10405181882611)",270.64
61,V16 / V32 / V33 - de Colombes à St-Denis,https://www.af3v.org/les-voies-vertes/voies/386-v16-v32-v33-de-colombes-a-st-denis,COLOMBES,ST DENIS,"11,0km",Voie verte lisse,Route,Enrobé,"https://sig.af3v.org/index.php/view/embed/?repository=rep1&project=veloroutes&bbox=2.242219,48.931927,2.34669846685439,48.94135000000001&crs=EPSG:4326","('2.242219', '48.931927')","('2.34669846685439', '48.94135000000001')","(2.294458733427195, 48.9366385)",271.26
62,Voie Verte du Camin d'Adour,https://www.af3v.org/les-voies-vertes/voies/187-voie-verte-du-camin-d-adour,SOUES,BOURS,"11,1km",Voie verte lisse,Canal,Enrobé à froid,"https://sig.af3v.org/index.php/view/embed/?repository=rep1&project=veloroutes&bbox=0.08193099999999999,43.20376400000001,0.094231,43.28830399999998&crs=EPSG:4326","('0.08193099999999999', '43.20376400000001')","('0.094231', '43.28830399999998')","(0.08808099999999999, 43.246033999999995)",270.04
63,"EV8 - La Vélittorale, de Le Barcarès à Canet-plage",https://www.af3v.org/les-voies-vertes/voies/376-la-velittorale-ev8-de-le-barcares-a-canet-plage,LE BARCARES,CANET EN ROUSSILLON,"11,4km",Voie verte lisse,Route,Enrobé,"https://sig.af3v.org/index.php/view/embed/?repository=rep1&project=veloroutes&bbox=3.0167592169936444,42.68893231328391,3.0350764774865,42.77005700000001&crs=EPSG:4326","('3.0167592169936444', '42.68893231328391')","('3.0350764774865', '42.77005700000001')","(3.025917847240072, 42.72949465664196)",246.92
64,Voie Verte Petiville - Villequier,https://www.af3v.org/les-voies-vertes/voies/42-voie-verte-petiville-villequier,PETIVILLE,VILLEQUIER,"11,4km",Voie verte lisse,Canal,Enrobé lisse,"https://sig.af3v.org/index.php/view/embed/?repository=rep1&project=veloroutes&bbox=0.201506191445589,49.43254,0.671019,49.507086&crs=EPSG:4326","('0.201506191445589', '49.43254')","('0.671019', '49.507086')","(0.4362625957227945, 49.469813)",269.44
65,Voie Verte de la Vallée de la Charentonne (Bernay - Broglie),https://www.af3v.org/les-voies-vertes/voies/167-voie-verte-de-la-vallee-de-la-charentonne-bernay-broglie,BERNAY,BROGLIE,"11,5km",Voie verte lisse,Voie ferrée,Enrobé lisse,"https://sig.af3v.org/index.php/view/embed/?repository=rep1&project=veloroutes&bbox=0.53126,49.00714,0.60565,49.08737&crs=EPSG:4326","('0.53126', '49.00714')","('0.60565', '49.08737')","(0.5684549999999999, 49.047255)",269.12
66,Voie Verte du canal de Montech (Canal des 2 mers à vélo V80 et La Vagabonde V87),https://www.af3v.org/les-voies-vertes/voies/421-voie-verte-du-canal-de-montech-canal-des-2-mers-a-velo-v80-et-la-vagabonde-v87,MONTECH,MONTAUBAN,"11,6km",Voie verte lisse,Canal,Enrobé lisse,"https://sig.af3v.org/index.php/view/embed/?repository=rep1&project=veloroutes&bbox=1.23593139740845,43.95701531567729,1.341802,44.00779711470418&crs=EPSG:4326","('1.23593139740845', '43.95701531567729')","('1.341802', '44.00779711470418')","(1.288866698704225, 43.982406215190736)",252.09
67,EV6 / V51 - Voie Verte de Bourbon-Lancy à Diou,https://www.af3v.org/les-voies-vertes/voies/194-ev6-v51-voie-verte-de-bourbon-lancy-a-diou,BOURBON LANCY,DIOU,"11,8km",Voie verte lisse,Voie ferrée,Enrobé lisse,"https://sig.af3v.org/index.php/view/embed/?repository=rep1&project=veloroutes&bbox=3.741445,46.53644800000001,3.7611019999999997,46.62559599999999&crs=EPSG:4326","('3.741445', '46.53644800000001')","('3.7611019999999997', '46.62559599999999')","(3.7512735, 46.581022)",250.27
68,"EV6 - de l'Atlantique à la Mer Noire / La Loire à vélo, de Savigny-en-Véron à Huismes",https://www.af3v.org/les-voies-vertes/voies/634-ev6-de-l-atlantique-a-la-mer-noire-la-loire-a-velo-de-savigny-en-veron-a-huismes,SAVIGNY EN VERON,HUISMES,"11,8km",Voie verte lisse,Routes en voie partagée et piste cyclable,Bitume,"https://sig.af3v.org/index.php/view/embed/?repository=rep1&project=veloroutes&bbox=0.14414385851636707,47.20075126049119,0.24585151572624017,47.24878771371893&crs=EPSG:4326","('0.14414385851636707', '47.20075126049119')","('0.24585151572624017', '47.24878771371893')","(0.1949976871213036, 47.224769487105064)",272.47
69,EV6 / V51 - Voie Verte Digoin - Paray-le-Monial,https://www.af3v.org/les-voies-vertes/voies/118-ev6-v51-voie-verte-digoin-paray-le-monial,DIGOIN,PARAY LE MONIAL,"11,8km",Voie verte lisse,Canal,Enrobé lisse,"https://sig.af3v.org/index.php/view/embed/?repository=rep1&project=veloroutes&bbox=3.978613,46.455421,4.101226,46.4883&crs=EPSG:4326","('3.978613', '46.455421')","('4.101226', '46.4883')","(4.0399195, 46.471860500000005)",249.07
70,Piste cyclable La Barque - Trets,https://www.af3v.org/les-voies-vertes/voies/318-piste-cyclable-la-barque-trets,FUVEAU,TRETS,"11,9km",Voie verte lisse,Sentier,Enrobé lisse,"https://sig.af3v.org/index.php/view/embed/?repository=rep1&project=veloroutes&bbox=5.542002,43.449848,5.67715,43.47987&crs=EPSG:4326","('5.542002', '43.449848')","('5.67715', '43.47987')","(5.609576000000001, 43.464859000000004)",258.17
71,Voie Verte de Sainte-Livrade-sur-Lot à Le Temple-sur-Lot (V86),https://www.af3v.org/les-voies-vertes/voies/464-voie-verte-de-sainte-livrade-sur-lot-a-le-temple-sur-lot-v86,STE LIVRADE SUR LOT,LE TEMPLE SUR LOT,"12,0km",Voie verte lisse,Voie ferrée,Enrobé lisse,"https://sig.af3v.org/index.php/view/embed/?repository=rep1&project=veloroutes&bbox=0.5269848836495881,44.38069399999998,0.6628073461897039,44.40072329721527&crs=EPSG:4326","('0.5269848836495881', '44.38069399999998')","('0.6628073461897039', '44.40072329721527')","(0.594896114919646, 44.39070864860763)",273.68
72,La Littorale de Montredon-des-Corbières à Névian,https://www.af3v.org/les-voies-vertes/voies/374-la-littorale-de-montredon-des-corbieres-a-nevian,MONTREDON DES CORBIERES,NEVIAN,"12,2km",Voie verte lisse,Route,Enrobé lisse,"https://sig.af3v.org/index.php/view/embed/?repository=rep1&project=veloroutes&bbox=2.907409,43.181458,2.990097,43.210923&crs=EPSG:4326","('2.907409', '43.181458')","('2.990097', '43.210923')","(2.948753, 43.1961905)",242.05
73,Voie Verte de la Nive,https://www.af3v.org/les-voies-vertes/voies/72-voie-verte-de-la-nive,BAYONNE,USTARITZ,"12,4km",Voie verte lisse,Sentier,Enduit gravillonné,"https://sig.af3v.org/index.php/view/embed/?repository=rep1&project=veloroutes&bbox=-1.486566,43.405827,-1.455667,43.487852&crs=EPSG:4326","('-1.486566', '43.405827')","('-1.455667', '43.487852')","(-1.4711165, 43.446839499999996)",270.35
74,Voie Verte du canal latéral à la Marne,https://www.af3v.org/les-voies-vertes/voies/325-voie-verte-du-canal-lateral-a-la-marne,RECY,MONCETZ LONGEVAS,"12,5km",Voie verte lisse,Canal,Enrobé lisse,"https://sig.af3v.org/index.php/view/embed/?repository=rep1&project=veloroutes&bbox=4.309366,48.902392999999975,4.416842,48.98738300000001&crs=EPSG:4326","('4.309366', '48.902392999999975')","('4.416842', '48.98738300000001')","(4.363104, 48.94488799999999)",270.35
75,"EV5 - Via Romea Francigena / Voie Verte du Canal de la Sarre, de Grosbliederstroff à Sarreguemines",https://www.af3v.org/les-voies-vertes/voies/698-ev5-via-romea-francigena-voie-verte-du-canal-de-la-sarre-de-grosbliederstroff-a-sarreguemines,GROSBLIEDERSTROFF,SARREGUEMINES,"12,6km",Voie verte lisse,Chemin de halage,Bitume,"https://sig.af3v.org/index.php/view/embed/?repository=rep1&project=veloroutes&bbox=7.027339,49.099741,7.079862,49.191815&crs=EPSG:4326","('7.027339', '49.099741')","('7.079862', '49.191815')","(7.0536005, 49.145778)",256.34
76,La trace du Courlis,https://www.af3v.org/les-voies-vertes/voies/291-la-trace-du-courlis,VAIVRE ET MONTOILLE,CHEMILLY,"12,8km",Voie verte lisse,Voie ferrée,Enrobé lisse,"https://sig.af3v.org/index.php/view/embed/?repository=rep1&project=veloroutes&bbox=6.018754,47.619229,6.155884,47.655336&crs=EPSG:4326","('6.018754', '47.619229')","('6.155884', '47.655336')","(6.087319000000001, 47.6372825)",259.7
77,"EV3 - Scandibérique / Trans'Oise, de Abbécourt à Sempigny (Noyon)",https://www.af3v.org/les-voies-vertes/voies/367-ev3-scandiberique-trans-oise-de-abbecourt-a-sempigny-noyon,ABBECOURT,SEMPIGNY,"13,1km",Voie verte lisse,Canal,Enrobé lisse,"https://sig.af3v.org/index.php/view/embed/?repository=rep1&project=veloroutes&bbox=2.99098,49.56176,3.1659173810028065,49.582559309317894&crs=EPSG:4326","('2.99098', '49.56176')","('3.1659173810028065', '49.582559309317894')","(3.0784486905014035, 49.57215965465895)",270.02
78,Trans’Oise de Frétoy-le-Château à Pont-l’Evêque,https://www.af3v.org/les-voies-vertes/voies/406-trans-oise-de-fretoy-le-chateau-a-pont-l-eveque,FRETOY LE CHATEAU,PONT L EVEQUE,"13,2km",Voie verte lisse,Chemin de halage,Enrobé lisse,"https://sig.af3v.org/index.php/view/embed/?repository=rep1&project=veloroutes&bbox=2.939076,49.56572,2.987064,49.660015&crs=EPSG:4326","('2.939076', '49.56572')","('2.987064', '49.660015')","(2.96307, 49.6128675)",270.04
79,Voie Verte des Hauts de Tardoire,https://www.af3v.org/les-voies-vertes/voies/126-voie-verte-des-hauts-de-tardoire,CHALUS,ORADOUR SUR VAYRES,"13,3km",Voie verte lisse,Voie ferrée,Enrobé lisse,"https://sig.af3v.org/index.php/view/embed/?repository=rep1&project=veloroutes&bbox=0.870329,45.651998,0.975809,45.729008&crs=EPSG:4326","('0.870329', '45.651998')","('0.975809', '45.729008')","(0.923069, 45.690503)",273.1
80,Piste cyclable du tramway T3 (LEA),https://www.af3v.org/les-voies-vertes/voies/323-piste-cyclable-du-tramway-t3-lea,LYON 03,MEYZIEU,"13,3km",Voie verte lisse,Voie ferrée,Enrobé lisse,"https://sig.af3v.org/index.php/view/embed/?repository=rep1&project=veloroutes&bbox=4.861464000000001,45.752477999999996,5.01302933443581,45.777563800428894&crs=EPSG:4326","('4.861464000000001', '45.752477999999996')","('5.01302933443581', '45.777563800428894')","(4.937246667217906, 45.765020900214445)",255.73
81,V80 - Voie Verte Etauliers - Blaye,https://www.af3v.org/les-voies-vertes/voies/19-voie-verte-etauliers-blaye-veloroute-v80,ETAULIERS,BLAYE,"13,4km",Voie verte lisse,Voie ferrée,Enrobé lisse,"https://sig.af3v.org/index.php/view/embed/?repository=rep1&project=veloroutes&bbox=-0.662554,45.129228,-0.574518,45.227483&crs=EPSG:4326","('-0.662554', '45.129228')","('-0.574518', '45.227483')","(-0.618536, 45.178355499999995)",273.08
82,Voie Verte de Perpignan à Ste-Marie-la-Mer,https://www.af3v.org/les-voies-vertes/voies/445-voie-verte-de-perpignan-a-ste-marie-la-mer,PERPIGNAN,STE MARIE,"13,5km",Voie verte lisse,Voie en site propre,Enduit gravillonné,"https://sig.af3v.org/index.php/view/embed/?repository=rep1&project=veloroutes&bbox=2.900195,42.706376,3.027986,42.73154449645307&crs=EPSG:4326","('2.900195', '42.706376')","('3.027986', '42.73154449645307')","(2.9640905, 42.71896024822654)",246.61
83,Voie Verte Santenay - Nolay,https://www.af3v.org/les-voies-vertes/voies/283-voie-verte-santenay-nolay,SANTENAY,NOLAY,"13,6km",Voie verte lisse,Voie ferrée,Enrobé lisse,"https://sig.af3v.org/index.php/view/embed/?repository=rep1&project=veloroutes&bbox=4.598647,46.900833,4.69459,46.95812&crs=EPSG:4326","('4.598647', '46.900833')","('4.69459', '46.95812')","(4.6466185, 46.9294765)",249.36
84,V65 - de La Ciotat à Toulon / Parcours cyclable du littoral,https://www.af3v.org/les-voies-vertes/voies/541-v65-de-la-ciotat-a-toulon-parcours-cyclable-du-littoral,SIX FOURS LES PLAGES,TOULON,"13,6km",Voie verte lisse,Voies en site propre 95% ; voies partagées 5%,enrobé lisse,"https://sig.af3v.org/index.php/view/embed/?repository=rep1&project=veloroutes&bbox=5.80835,43.093381,5.9292,43.12702&crs=EPSG:4326","('5.80835', '43.093381')","('5.9292', '43.12702')","(5.868774999999999, 43.110200500000005)",254.84
85,Piste cyclable Montpellier Carnon,https://www.af3v.org/les-voies-vertes/voies/208-piste-cyclable-montpellier-carnon,MONTPELLIER,MAUGUIO,"13,7km",Voie verte lisse,Site propre Piste cyclable pour l’essentiel,Enrobé lisse,"https://sig.af3v.org/index.php/view/embed/?repository=rep1&project=veloroutes&bbox=3.899705,43.545467,3.970912,43.601568&crs=EPSG:4326","('3.899705', '43.545467')","('3.970912', '43.601568')","(3.9353085, 43.5735175)",252.41
86,Voie Verte TCSP Massy- Christ de Saclay,https://www.af3v.org/les-voies-vertes/voies/895-voie-verte-tcsp-massy-christ-de-saclay,MASSY,SACLAY,"13,7km",Voie verte lisse,,,"https://sig.af3v.org/index.php/view/embed/?repository=rep1&project=veloroutes&bbox=2.13853,48.71028999999999,2.25137116056997,48.73071999999999&crs=EPSG:4326","('2.13853', '48.71028999999999')","('2.25137116056997', '48.73071999999999')","(2.194950580284985, 48.72050499999999)",272.47
87,Itinéraire Gilette - La Baronne,https://www.af3v.org/les-voies-vertes/voies/281-itineraire-gilette-la-baronne,GILETTE,LA GAUDE,"13,8km",Voie verte lisse,Français,Enrobé lisse,"https://sig.af3v.org/index.php/view/embed/?repository=rep1&project=veloroutes&bbox=7.179233,43.71966,7.214287,43.82559413396643&crs=EPSG:4326","('7.179233', '43.71966')","('7.214287', '43.82559413396643')","(7.196759999999999, 43.77262706698322)",241.78
88,Voie Verte de Molsheim à Wasselonne,https://www.af3v.org/les-voies-vertes/voies/52-voie-verte-de-molsheim-a-wasselonne,MOLSHEIM,WASSELONNE,"14,0km",Voie verte lisse,Voie ferrée,Enrobé lisse,"https://sig.af3v.org/index.php/view/embed/?repository=rep1&project=veloroutes&bbox=7.403235,48.568833999999995,7.495011999999999,48.642575999999984&crs=EPSG:4326","('7.403235', '48.568833999999995')","('7.495011999999999', '48.642575999999984')","(7.449123499999999, 48.605704999999986)",252.71
89,Voie Verte du Beaujolais,https://www.af3v.org/les-voies-vertes/voies/127-voie-verte-du-beaujolais,ST JEAN D ARDIERES,BEAUJEU,"14,0km",Voie verte lisse,Voie ferrée,Enrobé lisse,"https://sig.af3v.org/index.php/view/embed/?repository=rep1&project=veloroutes&bbox=4.59655,46.110589,4.746984,46.149052&crs=EPSG:4326","('4.59655', '46.110589')","('4.746984', '46.149052')","(4.671767, 46.129820499999994)",253.31
90,"EV5 - Via Romea Francigena / Voie Verte de la Lys, de Aire-sur-la-Lys à St-Venant",https://www.af3v.org/les-voies-vertes/voies/614-ev5-via-romea-francigena-voie-verte-de-la-lys-de-aire-sur-la-lys-a-st-venant,AIRE SUR LA LYS,ST VENANT,"14,2km",Voie verte lisse,Chemin de halage,Enrobé et stabilisé,"https://sig.af3v.org/index.php/view/embed/?repository=rep1&project=veloroutes&bbox=2.4060796933008057,50.62540635353338,2.55645166763757,50.650515&crs=EPSG:4326","('2.4060796933008057', '50.62540635353338')","('2.55645166763757', '50.650515')","(2.481265680469188, 50.63796067676669)",267.61
91,"EV3 - Scandibérique / Voie Verte Galope Chopine, de Reignac à Chevanceaux",https://www.af3v.org/les-voies-vertes/voies/242-scandiberique-voie-verte-galope-chopine-de-reignac-a-chevanceaux,REIGNAC,CHEVANCEAUX,"14,4km",Voie verte lisse,Voie ferrée,Enrobé lisse,"https://sig.af3v.org/index.php/view/embed/?repository=rep1&project=veloroutes&bbox=-0.254041924801428,45.31106400000001,-0.179923892623272,45.41961206805681&crs=EPSG:4326","('-0.254041924801428', '45.31106400000001')","('-0.179923892623272', '45.41961206805681')","(-0.21698290871235, 45.36533803402841)",274.0
92,"V43 - La Loire à vélo / VéloFrancette, de Bouchemaine à la Daguenière",https://www.af3v.org/les-voies-vertes/voies/642-la-loire-a-velo-v43-velofrancette-de-bouchemaine-a-la-dagueniere,BOUCHEMAINE,LA DAGUENIERE,"14,8km",Voie verte lisse,Pistes cyclables et sections de routes en voie partagée,Enrobé et stabilisé,"https://sig.af3v.org/index.php/view/embed/?repository=rep1&project=veloroutes&bbox=-0.61036,47.417530999999975,-0.436782,47.430711&crs=EPSG:4326","('-0.61036', '47.417530999999975')","('-0.436782', '47.430711')","(-0.523571, 47.424120999999985)",273.07
93,V31 / IC42 - Véloroute du Val d'Argent,https://www.af3v.org/les-voies-vertes/voies/454-vv31-et-ic42-veloroute-du-val-d-argent,STE MARIE AUX MINES,CHATENOIS,"14,8km",Voie verte lisse,Voies vertes (83%) et routes partagées (17%),Enrobé lisse,"https://sig.af3v.org/index.php/view/embed/?repository=rep1&project=veloroutes&bbox=7.204837,48.254141,7.382072,48.284185&crs=EPSG:4326","('7.204837', '48.254141')","('7.382072', '48.284185')","(7.2934545, 48.269163)",253.0
94,Piste des plages Bayonne-Anglet (EV1 Vélodyssée),https://www.af3v.org/les-voies-vertes/voies/175-piste-des-plages-bayonne-anglet-ev1-velodyssee,BAYONNE,ANGLET,"15,1km",Voie verte lisse,Route,Enrobé lisse,"https://sig.af3v.org/index.php/view/embed/?repository=rep1&project=veloroutes&bbox=-1.566724,43.473032999999994,-1.465291,43.526562&crs=EPSG:4326","('-1.566724', '43.473032999999994')","('-1.465291', '43.526562')","(-1.5160075, 43.4997975)",271.26
95,"V30 - Voie Verte du canal de la Somme, de St-Valéry/Somme à Abbeville",https://www.af3v.org/les-voies-vertes/voies/55-v30-voie-verte-du-canal-de-la-somme-de-st-valery-somme-a-abbeville,ST VALERY SUR SOMME,ABBEVILLE,"15,2km",Voie verte lisse,Canal,Enrobé lisse,"https://sig.af3v.org/index.php/view/embed/?repository=rep1&project=veloroutes&bbox=1.650867,50.103460999999996,1.8260029999999998,50.17572999999998&crs=EPSG:4326","('1.650867', '50.103460999999996')","('1.8260029999999998', '50.17572999999998')","(1.738435, 50.139595499999984)",268.51
96,Voie Verte de Lembach à Durrenbach,https://www.af3v.org/les-voies-vertes/voies/50-voie-verte-de-lembach-a-durrenbach,LEMBACH,DURRENBACH,"15,4km",Voie verte lisse,Voie ferrée,Enrobé lisse,"https://sig.af3v.org/index.php/view/embed/?repository=rep1&project=veloroutes&bbox=7.742193999999999,48.90004799999999,7.782397,49.045549586704894&crs=EPSG:4326","('7.742193999999999', '48.90004799999999')","('7.782397', '49.045549586704894')","(7.762295499999999, 48.97279879335244)",258.2
97,"EV5 - Via Romea Francigena / Voie Verte du Canal de la Sarre, de Mittersheim à Gondrexange",https://www.af3v.org/les-voies-vertes/voies/700-ev5-via-romea-francigena-voie-verte-du-canal-de-la-sarre-de-mittersheim-a-gondrexange,MITTERSHEIM,GONDREXANGE,"15,5km",Voie verte lisse,Chemin de halage,Bitume,"https://sig.af3v.org/index.php/view/embed/?repository=rep1&project=veloroutes&bbox=6.909569,48.69911099999999,6.942539,48.86482995577035&crs=EPSG:4326","('6.909569', '48.69911099999999')","('6.942539', '48.86482995577035')","(6.926054000000001, 48.78197047788517)",257.28
98,Voie Verte de la vallée de l'Amezule,https://www.af3v.org/les-voies-vertes/voies/278-voie-verte-de-la-vallee-de-l-amezule,LAY ST CHRISTOPHE,CHAMPENOUX,"15,7km",Voie verte lisse,Voie ferrée,Enrobé lisse,"https://sig.af3v.org/index.php/view/embed/?repository=rep1&project=veloroutes&bbox=6.182283361008255,48.738005999999984,6.3616150000000005,48.773003999999986&crs=EPSG:4326","('6.182283361008255', '48.738005999999984')","('6.3616150000000005', '48.773003999999986')","(6.271949180504128, 48.755504999999985)",258.18
99,Voie Verte de Perpignan à Thuir,https://www.af3v.org/les-voies-vertes/voies/93-voie-verte-de-perpignan-a-thuir,PERPIGNAN,THUIR,"15,7km",Voie verte lisse,Voie ferrée,Enrobé lisse,"https://sig.af3v.org/index.php/view/embed/?repository=rep1&project=veloroutes&bbox=2.756597,42.621595,2.880665,42.690669&crs=EPSG:4326","('2.756597', '42.621595')","('2.880665', '42.690669')","(2.818631, 42.656132)",244.19
100,"EV5 - Via Romea Francigena, de Guebwiller à Cernay / Véloroute du vignoble d'Alsace",https://www.af3v.org/les-voies-vertes/voies/706-ev5-via-romea-francigena-de-guebwiller-a-cernay-veloroute-du-vignoble-d-alsace,GUEBWILLER,CERNAY,"15,9km",Voie verte lisse,Pistes cyclables et sections de routes en voie partagée,Enrobé et stabilisé,"https://sig.af3v.org/index.php/view/embed/?repository=rep1&project=veloroutes&bbox=7.172035999999999,47.805267,7.227266,47.903744&crs=EPSG:4326","('7.172035999999999', '47.805267')","('7.227266', '47.903744')","(7.199650999999999, 47.8545055)",250.27
101,"EV15 - Véloroute du Rhin, de Lauterbourg à Seltz",https://www.af3v.org/les-voies-vertes/voies/713-ev15-veloroute-du-rhin-de-lauterbourg-a-seltz,LAUTERBOURG,SELTZ,"15,9km",Voie verte lisse,Pistes cyclables et sections de routes en voie partagée,Bitume,"https://sig.af3v.org/index.php/view/embed/?repository=rep1&project=veloroutes&bbox=8.129899,48.888166217762105,8.230184,48.968159&crs=EPSG:4326","('8.129899', '48.888166217762105')","('8.230184', '48.968159')","(8.1800415, 48.92816260888105)",264.57
102,Voie verte de la vallée du Rabodeau,https://www.af3v.org/les-voies-vertes/voies/776-voie-verte-de-la-vallee-du-rabodeau,MOUSSEY,ETIVAL CLAIREFONTAINE,"15,9km",Voie verte lisse,Ancienne voie ferrée,enrobé,"https://sig.af3v.org/index.php/view/embed/?repository=rep1&project=veloroutes&bbox=6.865121040717475,48.36439741146428,7.02122776444727,48.4294483479529&crs=EPSG:4326","('6.865121040717475', '48.36439741146428')","('7.02122776444727', '48.4294483479529')","(6.943174402582372, 48.39692287970859)",255.46
103,"EV6 - Voie Verte du canal du Rhône au Rhin, de Mulhouse à Niffer",https://www.af3v.org/les-voies-vertes/voies/121-ev6-voie-verte-du-canal-du-rhone-au-rhin-de-mulhouse-a-niffer,MULHOUSE,NIFFER,"16,2km",Voie verte lisse,Canal,Enrobé lisse,"https://sig.af3v.org/index.php/view/embed/?repository=rep1&project=veloroutes&bbox=7.358128,47.709292,7.502528,47.76798&crs=EPSG:4326","('7.358128', '47.709292')","('7.502528', '47.76798')","(7.430327999999999, 47.738636)",249.06
104,"V81 - Véloroute du Piémont Pyrénéen, de Bayonne à Urt",https://www.af3v.org/les-voies-vertes/voies/912-veloroute-du-piemont-pyreneen-v81-de-bayonne-a-urt,BAYONNE,URT,"16,4km",Voie verte lisse,Chemin,Enrobé lisse,"https://sig.af3v.org/index.php/view/embed/?repository=rep1&project=veloroutes&bbox=-1.4652639691135145,43.483582730700114,-1.2939540000000003,43.50114699999998&crs=EPSG:4326","('-1.4652639691135145', '43.483582730700114')","('-1.2939540000000003', '43.50114699999998')","(-1.3796089845567574, 43.49236486535005)",271.26
