,Nom,Lien,Début,Fin,Distance,Type voie,Nature voie,Revêtement,Carte,Coordonnées de début,Coordonnées de fin,Coordonnées milieu,% Couverture correspondant (200m),Groupes nature voie,Energie produite annuelle (kWh),Énergie produite annuelle (kWh / 860m2 de panneau),Unnamed: 0,SolarScore
11,Voie Verte de la Chalouette,https://www.af3v.org/les-voies-vertes/voies/251-voie-verte-de-la-chalouette,Etampes,St hilaire,4.8,Voie verte lisse,Voie ferrée,Enrobé lisse,"https://sig.af3v.org/index.php/view/embed/?repository=rep1&project=veloroutes&bbox=2.07541,48.42693,2.13813,48.4332&crs=EPSG:4326","('2.07541', '48.42693')","('2.13813', '48.4332')","(2.10677, 48.430065)",4.17,Bord de voie ferrée,66.09,56837.0,11,E
12,Voie Verte de la vallée du Lot Douelle-Mercuès,https://www.af3v.org/les-voies-vertes/voies/28-voie-verte-de-la-vallee-du-lot-douelle-mercues,Douelle,Mercues,5.0,Voie verte lisse,Voie ferrée,Stabilisé peu roulant,"https://sig.af3v.org/index.php/view/embed/?repository=rep1&project=veloroutes&bbox=1.35638702402979,44.4798760681002,1.4066408921258202,44.495465&crs=EPSG:4326","('1.35638702402979', '44.4798760681002')","('1.4066408921258202', '44.495465')","(1.381513958077805, 44.487670534050096)",4.0,Bord de voie ferrée,85.64,73650.0,12,C
13,D1215 - Voie Verte de Talais (D1215) à l'Océan,https://www.af3v.org/les-voies-vertes/voies/337-voie-verte-de-talais-d1215-a-l-ocean,Grayan et l hopital,Soulac sur mer,5.1,Voie verte lisse,Piste,Enrobé lisse,"https://sig.af3v.org/index.php/view/embed/?repository=rep1&project=veloroutes&bbox=-1.135331,45.458547,-1.070397,45.465997&crs=EPSG:4326","('-1.135331', '45.458547')","('-1.070397', '45.465997')","(-1.102864, 45.462272)",3.92,Piste cyclable,89.27,76772.0,13,C
14,"EV5-V32 - Via Romea Francigena / Véloroute Lille-Paris, de Angres à Lens",https://www.af3v.org/les-voies-vertes/voies/710-via-romea-francigena-veloroute-lille-paris-de-angres-a-lens,Angres,Lens,5.2,Voie verte lisse,Sentier,Bitume,"https://sig.af3v.org/index.php/view/embed/?repository=rep1&project=veloroutes&bbox=2.76848006758006,50.40525899999999,2.829722,50.424524999999996&crs=EPSG:4326","('2.76848006758006', '50.40525899999999')","('2.829722', '50.424524999999996')","(2.7991010337900297, 50.414891999999995)",3.85,Bord de sentier,63.29,54429.0,14,E
15,Voie de Lexos,https://www.af3v.org/les-voies-vertes/voies/391-voie-de-lexos,Montauban,Montauban,5.2,Voie verte lisse,Voie ferrée,Stabilisé bien roulant,"https://sig.af3v.org/index.php/view/embed/?repository=rep1&project=veloroutes&bbox=1.324089,44.02196399999998,1.378202,44.029894999999996&crs=EPSG:4326","('1.324089', '44.02196399999998')","('1.378202', '44.029894999999996')","(1.3511454999999999, 44.02592949999999)",3.85,Bord de voie ferrée,87.17,74966.0,15,C
16,RD600 - Voie Verte Le Tacot (RD 600),https://www.af3v.org/les-voies-vertes/voies/202-voie-verte-le-tacot-rd-600,St martin en haut,Larajasse,5.8,Voie verte lisse,Route,Enrobé lisse,"https://sig.af3v.org/index.php/view/embed/?repository=rep1&project=veloroutes&bbox=4.525369,45.62873,4.56394,45.658778&crs=EPSG:4326","('4.525369', '45.62873')","('4.56394', '45.658778')","(4.5446545, 45.643754)",3.45,Bord de route,88.4,76024.0,16,C
17,Voie Verte des Bois Francs,https://www.af3v.org/les-voies-vertes/voies/378-voie-verte-des-bois-francs,Verneuil sur avre,Les barils,6.1,Voie verte lisse,Sentier,Enrobé lisse,"https://sig.af3v.org/index.php/view/embed/?repository=rep1&project=veloroutes&bbox=0.832472,48.716592,0.908376,48.734528&crs=EPSG:4326","('0.832472', '48.716592')","('0.908376', '48.734528')","(0.870424, 48.72556)",3.28,Bord de sentier,66.35,57061.0,17,E
18,Voie Verte de l’Ennemane,https://www.af3v.org/les-voies-vertes/voies/517-voie-verte-de-l-ennemane,Remilly aillicourt,Raucourt et flaba,6.1,Voie verte lisse,Français,Enrobé,"https://sig.af3v.org/index.php/view/embed/?repository=rep1&project=veloroutes&bbox=4.954576,49.608541,4.992835981108932,49.65498578073033&crs=EPSG:4326","('4.954576', '49.608541')","('4.992835981108932', '49.65498578073033')","(4.973705990554466, 49.631763390365165)",3.28,Voie verte,63.0,54180.0,18,E
19,Voie Verte Boucle de la Moselle tronçon 2,https://www.af3v.org/les-voies-vertes/voies/30-voie-verte-boucle-de-la-moselle-troncon-2,Gondreville,Toul,6.1,Voie verte lisse,Sentier,Enrobé lisse,"https://sig.af3v.org/index.php/view/embed/?repository=rep1&project=veloroutes&bbox=5.892032999999999,48.65889899999999,5.943823,48.691527&crs=EPSG:4326","('5.892032999999999', '48.65889899999999')","('5.943823', '48.691527')","(5.917928, 48.675213)",3.28,Bord de sentier,72.77,62582.0,19,D
20,V86 - Voie Verte de Flagnac à Bouquiès (La Vallée du Lot à vélo V86),https://www.af3v.org/les-voies-vertes/voies/551-voie-verte-de-flagnac-a-bouquies-la-vallee-du-lot-a-velo-v86,Flagnac,Decazeville,6.6,Voie verte lisse,Rivière,Enduit gravillonné,"https://sig.af3v.org/index.php/view/embed/?repository=rep1&project=veloroutes&bbox=2.228577,44.581546,2.25054077907181,44.6086921707759&crs=EPSG:4326","('2.228577', '44.581546')","('2.25054077907181', '44.6086921707759')","(2.239558889535905, 44.59511908538795)",3.03,Bord de rivière ou canal,85.63,73642.0,20,C
21,Voie Verte de Toulouse à Portet par les bords de la Garonne (V83),https://www.af3v.org/les-voies-vertes/voies/452-voie-verte-de-toulouse-a-portet-par-les-bords-de-la-garonne-v83,Toulouse,Toulouse,6.6,Voie verte lisse,Rivière,Enrobé lisse,"https://sig.af3v.org/index.php/view/embed/?repository=rep1&project=veloroutes&bbox=1.42625607139507,43.54539276346439,1.43775,43.599025&crs=EPSG:4326","('1.42625607139507', '43.54539276346439')","('1.43775', '43.599025')","(1.432003035697535, 43.572208881732195)",3.03,Bord de rivière ou canal,88.34,75972.0,21,C
22,EV3 - La Scandibérique  / V56,https://www.af3v.org/les-voies-vertes/voies/756-ev3-la-scandiberique-v56-voie-verte-le-nizan-la-gare-bazas-d809,Le nizan,Bazas,6.8,Voie verte lisse,Ancienne voie ferrée,Enrobé lisse,"https://sig.af3v.org/index.php/view/embed/?repository=rep1&project=veloroutes&bbox=-0.292061,44.440643,-0.218711,44.462573999999975&crs=EPSG:4326","('-0.292061', '44.440643')","('-0.218711', '44.462573999999975')","(-0.255386, 44.45160849999999)",2.94,Ancienne ligne ferrovière,83.49,71801.0,22,C
23,EV1 - Voie Verte Le Chemin de la Baie à Hendaye (EV1 Vélodyssée),https://www.af3v.org/les-voies-vertes/voies/428-voie-verte-le-chemin-de-la-baie-a-hendaye-ev1-velodyssee,Hendaye,Urrugne,6.8,Voie verte lisse,Voie en site propre,Enrobé lisse,"https://sig.af3v.org/index.php/view/embed/?repository=rep1&project=veloroutes&bbox=-1.786174,43.34261699999999,-1.761155,43.370579&crs=EPSG:4326","('-1.786174', '43.34261699999999')","('-1.761155', '43.370579')","(-1.7736645, 43.35659799999999)",2.94,Voie verte,80.4,69144.0,23,D
24,V 3004 - Voie Verte de l'Espiguette,https://www.af3v.org/les-voies-vertes/voies/388-voie-verte-de-l-espiguette,Le grau du roi,Le grau du roi,6.7,Voie verte lisse,Voie verte,Enrobé lisse,"https://sig.af3v.org/index.php/view/embed/?repository=rep1&project=veloroutes&bbox=4.138128,43.487409,4.15040579996676,43.53638005462483&crs=EPSG:4326","('4.138128', '43.487409')","('4.15040579996676', '43.53638005462483')","(4.14426689998338, 43.511894527312414)",2.99,Voie verte,109.95,94557.0,24,B
25,Voie Verte de Seignosse-Océan à Tosse,https://www.af3v.org/les-voies-vertes/voies/528-voie-verte-de-seignosse-ocean-a-tosse,Seignosse,Tosse,7.0,Voie verte lisse,Voie ferrée,Enrobé lisse,"https://sig.af3v.org/index.php/view/embed/?repository=rep1&project=veloroutes&bbox=-1.417751,43.687478,-1.342432,43.706314&crs=EPSG:4326","('-1.417751', '43.687478')","('-1.342432', '43.706314')","(-1.3800915, 43.696895999999995)",2.86,Bord de voie ferrée,86.85,74691.0,25,C
26,Voie Verte de la vallée de la Bièvre,https://www.af3v.org/les-voies-vertes/voies/117-voie-verte-de-la-vallee-de-la-bievre,Hesse,Troisfontaines,7.1,Voie verte lisse,Voie ferrée,Enrobé lisse,"https://sig.af3v.org/index.php/view/embed/?repository=rep1&project=veloroutes&bbox=7.051851999999999,48.669861,7.119511,48.694402&crs=EPSG:4326","('7.051851999999999', '48.669861')","('7.119511', '48.694402')","(7.0856815, 48.6821315)",2.82,Bord de voie ferrée,69.14,59460.0,26,E
27,Voie verte de la Leysse et des Planeurs,https://www.af3v.org/les-voies-vertes/voies/535-voie-verte-de-la-leysse-et-des-planeurs,Chambery,Challes les eaux,7.1,Voie verte lisse,Français,Enrobé,"https://sig.af3v.org/index.php/view/embed/?repository=rep1&project=veloroutes&bbox=5.933481,45.552953,5.984904,45.577125&crs=EPSG:4326","('5.933481', '45.552953')","('5.984904', '45.577125')","(5.9591925, 45.565039)",2.82,Voie verte,86.87,74708.0,27,C
