,Nom,Lien,Début,Fin,Distance,Type voie,Nature voie,Revêtement,Carte,Coordonnées de début,Coordonnées de fin,Coordonnées milieu,% Couverture correspondant (200m),Groupes nature voie,Energie produite annuelle (kWh),Énergie produite annuelle (kWh / 860m2 de panneau),Unnamed: 0,SolarScore
49,Voie Verte de Strasbourg à La Wantzenau,https://www.af3v.org/les-voies-vertes/voies/47-voie-verte-de-strasbourg-a-la-wantzenau,Strasbourg,La wantzenau,9.2,Voie verte lisse,Sentier,Enduit gravillonné,"https://sig.af3v.org/index.php/view/embed/?repository=rep1&project=veloroutes&bbox=7.782273999999999,48.59104299999999,7.831283,48.655102&crs=EPSG:4326","('7.782273999999999', '48.59104299999999')","('7.831283', '48.655102')","(7.8067785, 48.62307249999999)",2.17,Bord de sentier,74.63,64182.0,49,D
50,"EV3 - Scandibérique / Trans'Oise, de Compiègne à Lacroix-St-Ouen",https://www.af3v.org/les-voies-vertes/voies/415-ev3-scandiberique-trans-oise-de-compiegne-a-lacroix-st-ouen,Compiegne,Lacroix st ouen,9.3,Voie verte lisse,Voie en site propre,Enrobé lisse,"https://sig.af3v.org/index.php/view/embed/?repository=rep1&project=veloroutes&bbox=2.765481,49.352816,2.823712,49.419701&crs=EPSG:4326","('2.765481', '49.352816')","('2.823712', '49.419701')","(2.7945965, 49.3862585)",2.15,Voie verte,63.89,54945.0,50,E
51,"Piste cyclable de l'ARC, de la Clairière de l'Armistice à Compiègne",https://www.af3v.org/les-voies-vertes/voies/216-piste-cyclable-de-l-arc-de-la-clairiere-de-l-armistice-a-compiegne,Rethondes,Compiegne,9.5,Voie verte lisse,Canal,Enrobé lisse,"https://sig.af3v.org/index.php/view/embed/?repository=rep1&project=veloroutes&bbox=2.823698,49.418149,2.914274,49.436062&crs=EPSG:4326","('2.823698', '49.418149')","('2.914274', '49.436062')","(2.8689859999999996, 49.427105499999996)",2.11,Bord de rivière ou canal,63.28,54421.0,51,E
52,Voie Verte des Kaolins,https://www.af3v.org/les-voies-vertes/voies/531-voie-verte-des-kaolins,Lorient,Ploemeur,10.1,Voie verte lisse,Ancienne voie ferrée,Enrobé lisse,"https://sig.af3v.org/index.php/view/embed/?repository=rep1&project=veloroutes&bbox=-3.47165,47.711279,-3.391004,47.757823&crs=EPSG:4326","('-3.47165', '47.711279')","('-3.391004', '47.757823')","(-3.431327, 47.734550999999996)",1.98,Ancienne ligne ferrovière,73.98,63623.0,52,D
53,"EV6 - de l'Atlantique à la Mer Noire, de Cuffy (pont de Guétin) à Nevers",https://www.af3v.org/les-voies-vertes/voies/149-ev6-de-l-atlantique-a-la-mer-noire-de-cuffy-pont-de-guetin-a-nevers,Cuffy,Nevers,10.3,Voie verte lisse,Canal,Enduit gravillonné,"https://sig.af3v.org/index.php/view/embed/?repository=rep1&project=veloroutes&bbox=3.069423,46.94163799999999,3.1821460000000004,46.959664999999994&crs=EPSG:4326","('3.069423', '46.94163799999999')","('3.1821460000000004', '46.959664999999994')","(3.1257845, 46.95065149999999)",1.94,Bord de rivière ou canal,73.15,62909.0,53,D
54,Piste du Vignac,https://www.af3v.org/les-voies-vertes/voies/263-piste-du-vignac,Levignacq,Lit et mixe,10.3,Voie verte lisse,Voie ferrée,Enrobé lisse,"https://sig.af3v.org/index.php/view/embed/?repository=rep1&project=veloroutes&bbox=-1.250016,44.001656,-1.139943,44.031059&crs=EPSG:4326","('-1.250016', '44.001656')","('-1.139943', '44.031059')","(-1.1949795, 44.0163575)",1.94,Bord de voie ferrée,89.91,77323.0,54,C
55,Voie Verte Itinéraire Airbus A380 tronçon de l'Isle-Jourdain,https://www.af3v.org/les-voies-vertes/voies/89-voie-verte-itineraire-airbus-a380-troncon-de-l-isle-jourdain,L isle jourdain,Ste livrade sur lot,10.4,Voie verte lisse,Route,Enrobé lisse,"https://sig.af3v.org/index.php/view/embed/?repository=rep1&project=veloroutes&bbox=1.0659905330292,43.61480529346401,1.1510371018782173,43.646046&crs=EPSG:4326","('1.0659905330292', '43.61480529346401')","('1.1510371018782173', '43.646046')","(1.1085138174537086, 43.63042564673201)",1.92,Bord de route,87.74,75456.0,55,C
56,Voie Verte Portes Bonheur - Chemin des Carrières,https://www.af3v.org/les-voies-vertes/voies/760-voie-verte-portes-bonheur-chemin-des-carrieres,Rosheim,St nabor,10.4,Voie verte lisse,Ancienne voie ferrée,enrobé,"https://sig.af3v.org/index.php/view/embed/?repository=rep1&project=veloroutes&bbox=7.420909087169719,48.44770620047875,7.484082544099548,48.501786343443065&crs=EPSG:4326","('7.420909087169719', '48.44770620047875')","('7.484082544099548', '48.501786343443065')","(7.452495815634634, 48.47474627196091)",1.92,Ancienne ligne ferrovière,73.12,62883.0,56,D
57,Véloroute - Voie Verte de l'Adour Maritime,https://www.af3v.org/les-voies-vertes/voies/450-veloroute-voie-verte-de-l-adour-maritime,St laurent de gosse,Tarnos,10.5,Voie verte lisse,Rivière,Enrobé lisse,"https://sig.af3v.org/index.php/view/embed/?repository=rep1&project=veloroutes&bbox=-1.419377,43.496445,-1.29305,43.505838&crs=EPSG:4326","('-1.419377', '43.496445')","('-1.29305', '43.505838')","(-1.3562135, 43.5011415)",1.9,Bord de rivière ou canal,80.41,69153.0,57,D
58,Voies du Plan Vert de Chartres,https://www.af3v.org/les-voies-vertes/voies/339-voies-du-plan-vert-de-chartres,St prest,Luisant,10.5,Voie verte lisse,Rivière,Enrobé lisse,"https://sig.af3v.org/index.php/view/embed/?repository=rep1&project=veloroutes&bbox=1.4802579999999999,48.42531164780694,1.517836,48.484151&crs=EPSG:4326","('1.4802579999999999', '48.42531164780694')","('1.517836', '48.484151')","(1.499047, 48.454731323903474)",1.9,Bord de rivière ou canal,66.09,56837.0,58,E
59,"V50 / V52 - La Voie Bleue, Moselle-Saône à vélo, de Laneuveville-devant-Nancy à Méréville / Voie Verte Boucle de la Moselle - secteur Sud-Est",https://www.af3v.org/les-voies-vertes/voies/823-la-voie-bleue-moselle-saone-a-velo-de-laneuveville-devant-nancy-a-mereville-voie-verte-boucle-de-la-moselle-secteur-sud-est,Laneuveville devant nancy,Mereville,10.7,Voie verte lisse,piste cyclable,enrobé,"https://sig.af3v.org/index.php/view/embed/?repository=rep1&project=veloroutes&bbox=6.15381,48.601507000000005,6.232644,48.65979&crs=EPSG:4326","('6.15381', '48.601507000000005')","('6.232644', '48.65979')","(6.193227, 48.63064850000001)",1.87,Piste cyclable,72.17,62066.0,59,D
60,Véloroute-Voie Verte de la Vallée d’Ossau,https://www.af3v.org/les-voies-vertes/voies/1099-veloroute-voie-verte-de-la-vallee-d-ossau,Buzy,Bielle,10.9,Voie verte lisse,Voie Verte,Enrobé,"https://sig.af3v.org/index.php/view/embed/?repository=rep1&project=veloroutes&bbox=-0.45721005880948,43.060079301039906,-0.420150051629905,43.14802433661231&crs=EPSG:4326","('-0.45721005880948', '43.060079301039906')","('-0.420150051629905', '43.14802433661231')","(-0.4386800552196925, 43.10405181882611)",1.83,Voie verte,70.9,60974.0,60,D
61,V16 / V32 / V33 - de Colombes à St-Denis,https://www.af3v.org/les-voies-vertes/voies/386-v16-v32-v33-de-colombes-a-st-denis,Colombes,St denis,11.0,Voie verte lisse,Route,Enrobé,"https://sig.af3v.org/index.php/view/embed/?repository=rep1&project=veloroutes&bbox=2.242219,48.931927,2.34669846685439,48.94135000000001&crs=EPSG:4326","('2.242219', '48.931927')","('2.34669846685439', '48.94135000000001')","(2.294458733427195, 48.9366385)",1.82,Bord de route,65.14,56020.0,61,E
62,Voie Verte du Camin d'Adour,https://www.af3v.org/les-voies-vertes/voies/187-voie-verte-du-camin-d-adour,Soues,Bours,11.1,Voie verte lisse,Canal,Enrobé à froid,"https://sig.af3v.org/index.php/view/embed/?repository=rep1&project=veloroutes&bbox=0.08193099999999999,43.20376400000001,0.094231,43.28830399999998&crs=EPSG:4326","('0.08193099999999999', '43.20376400000001')","('0.094231', '43.28830399999998')","(0.08808099999999999, 43.246033999999995)",1.8,Bord de rivière ou canal,80.94,69608.0,62,C
63,"EV8 - La Vélittorale, de Le Barcarès à Canet-plage",https://www.af3v.org/les-voies-vertes/voies/376-la-velittorale-ev8-de-le-barcares-a-canet-plage,Le barcares,Canet en roussillon,11.4,Voie verte lisse,Route,Enrobé,"https://sig.af3v.org/index.php/view/embed/?repository=rep1&project=veloroutes&bbox=3.0167592169936444,42.68893231328391,3.0350764774865,42.77005700000001&crs=EPSG:4326","('3.0167592169936444', '42.68893231328391')","('3.0350764774865', '42.77005700000001')","(3.025917847240072, 42.72949465664196)",1.75,Bord de route,107.2,92192.0,63,B
64,Voie Verte Petiville - Villequier,https://www.af3v.org/les-voies-vertes/voies/42-voie-verte-petiville-villequier,Petiville,Villequier,11.4,Voie verte lisse,Canal,Enrobé lisse,"https://sig.af3v.org/index.php/view/embed/?repository=rep1&project=veloroutes&bbox=0.201506191445589,49.43254,0.671019,49.507086&crs=EPSG:4326","('0.201506191445589', '49.43254')","('0.671019', '49.507086')","(0.4362625957227945, 49.469813)",1.75,Bord de rivière ou canal,65.73,56528.0,64,E
65,Voie Verte de la Vallée de la Charentonne (Bernay - Broglie),https://www.af3v.org/les-voies-vertes/voies/167-voie-verte-de-la-vallee-de-la-charentonne-bernay-broglie,Bernay,Broglie,11.5,Voie verte lisse,Voie ferrée,Enrobé lisse,"https://sig.af3v.org/index.php/view/embed/?repository=rep1&project=veloroutes&bbox=0.53126,49.00714,0.60565,49.08737&crs=EPSG:4326","('0.53126', '49.00714')","('0.60565', '49.08737')","(0.5684549999999999, 49.047255)",1.74,Bord de voie ferrée,65.73,56528.0,65,E
66,Voie Verte du canal de Montech (Canal des 2 mers à vélo V80 et La Vagabonde V87),https://www.af3v.org/les-voies-vertes/voies/421-voie-verte-du-canal-de-montech-canal-des-2-mers-a-velo-v80-et-la-vagabonde-v87,Montech,Montauban,11.6,Voie verte lisse,Canal,Enrobé lisse,"https://sig.af3v.org/index.php/view/embed/?repository=rep1&project=veloroutes&bbox=1.23593139740845,43.95701531567729,1.341802,44.00779711470418&crs=EPSG:4326","('1.23593139740845', '43.95701531567729')","('1.341802', '44.00779711470418')","(1.288866698704225, 43.982406215190736)",1.72,Bord de rivière ou canal,85.95,73917.0,66,C
67,EV6 / V51 - Voie Verte de Bourbon-Lancy à Diou,https://www.af3v.org/les-voies-vertes/voies/194-ev6-v51-voie-verte-de-bourbon-lancy-a-diou,Bourbon lancy,Diou,11.8,Voie verte lisse,Voie ferrée,Enrobé lisse,"https://sig.af3v.org/index.php/view/embed/?repository=rep1&project=veloroutes&bbox=3.741445,46.53644800000001,3.7611019999999997,46.62559599999999&crs=EPSG:4326","('3.741445', '46.53644800000001')","('3.7611019999999997', '46.62559599999999')","(3.7512735, 46.581022)",1.69,Bord de voie ferrée,77.42,66581.0,67,D
68,"EV6 - de l'Atlantique à la Mer Noire / La Loire à vélo, de Savigny-en-Véron à Huismes",https://www.af3v.org/les-voies-vertes/voies/634-ev6-de-l-atlantique-a-la-mer-noire-la-loire-a-velo-de-savigny-en-veron-a-huismes,Savigny en veron,Huismes,11.8,Voie verte lisse,Routes en voie partagée et piste cyclable,Bitume,"https://sig.af3v.org/index.php/view/embed/?repository=rep1&project=veloroutes&bbox=0.14414385851636707,47.20075126049119,0.24585151572624017,47.24878771371893&crs=EPSG:4326","('0.14414385851636707', '47.20075126049119')","('0.24585151572624017', '47.24878771371893')","(0.1949976871213036, 47.224769487105064)",1.69,Bord de route,72.16,62058.0,68,D
69,EV6 / V51 - Voie Verte Digoin - Paray-le-Monial,https://www.af3v.org/les-voies-vertes/voies/118-ev6-v51-voie-verte-digoin-paray-le-monial,Digoin,Paray le monial,11.8,Voie verte lisse,Canal,Enrobé lisse,"https://sig.af3v.org/index.php/view/embed/?repository=rep1&project=veloroutes&bbox=3.978613,46.455421,4.101226,46.4883&crs=EPSG:4326","('3.978613', '46.455421')","('4.101226', '46.4883')","(4.0399195, 46.471860500000005)",1.69,Bord de rivière ou canal,77.11,66315.0,69,D
70,Piste cyclable La Barque - Trets,https://www.af3v.org/les-voies-vertes/voies/318-piste-cyclable-la-barque-trets,Fuveau,Trets,11.9,Voie verte lisse,Sentier,Enrobé lisse,"https://sig.af3v.org/index.php/view/embed/?repository=rep1&project=veloroutes&bbox=5.542002,43.449848,5.67715,43.47987&crs=EPSG:4326","('5.542002', '43.449848')","('5.67715', '43.47987')","(5.609576000000001, 43.464859000000004)",1.68,Bord de sentier,119.14,102460.0,70,A
71,Voie Verte de Sainte-Livrade-sur-Lot à Le Temple-sur-Lot (V86),https://www.af3v.org/les-voies-vertes/voies/464-voie-verte-de-sainte-livrade-sur-lot-a-le-temple-sur-lot-v86,Ste livrade sur lot,Le temple sur lot,12.0,Voie verte lisse,Voie ferrée,Enrobé lisse,"https://sig.af3v.org/index.php/view/embed/?repository=rep1&project=veloroutes&bbox=0.5269848836495881,44.38069399999998,0.6628073461897039,44.40072329721527&crs=EPSG:4326","('0.5269848836495881', '44.38069399999998')","('0.6628073461897039', '44.40072329721527')","(0.594896114919646, 44.39070864860763)",1.67,Bord de voie ferrée,85.63,73642.0,71,C
72,La Littorale de Montredon-des-Corbières à Névian,https://www.af3v.org/les-voies-vertes/voies/374-la-littorale-de-montredon-des-corbieres-a-nevian,Montredon des corbieres,Nevian,12.2,Voie verte lisse,Route,Enrobé lisse,"https://sig.af3v.org/index.php/view/embed/?repository=rep1&project=veloroutes&bbox=2.907409,43.181458,2.990097,43.210923&crs=EPSG:4326","('2.907409', '43.181458')","('2.990097', '43.210923')","(2.948753, 43.1961905)",1.64,Bord de route,103.89,89345.0,72,B
73,Voie Verte de la Nive,https://www.af3v.org/les-voies-vertes/voies/72-voie-verte-de-la-nive,Bayonne,Ustaritz,12.4,Voie verte lisse,Sentier,Enduit gravillonné,"https://sig.af3v.org/index.php/view/embed/?repository=rep1&project=veloroutes&bbox=-1.486566,43.405827,-1.455667,43.487852&crs=EPSG:4326","('-1.486566', '43.405827')","('-1.455667', '43.487852')","(-1.4711165, 43.446839499999996)",1.61,Bord de sentier,86.53,74416.0,73,C
74,Voie Verte du canal latéral à la Marne,https://www.af3v.org/les-voies-vertes/voies/325-voie-verte-du-canal-lateral-a-la-marne,Recy,Moncetz longevas,12.5,Voie verte lisse,Canal,Enrobé lisse,"https://sig.af3v.org/index.php/view/embed/?repository=rep1&project=veloroutes&bbox=4.309366,48.902392999999975,4.416842,48.98738300000001&crs=EPSG:4326","('4.309366', '48.902392999999975')","('4.416842', '48.98738300000001')","(4.363104, 48.94488799999999)",1.6,Bord de rivière ou canal,70.33,60484.0,74,D
75,"EV5 - Via Romea Francigena / Voie Verte du Canal de la Sarre, de Grosbliederstroff à Sarreguemines",https://www.af3v.org/les-voies-vertes/voies/698-ev5-via-romea-francigena-voie-verte-du-canal-de-la-sarre-de-grosbliederstroff-a-sarreguemines,Grosbliederstroff,Sarreguemines,12.6,Voie verte lisse,Chemin de halage,Bitume,"https://sig.af3v.org/index.php/view/embed/?repository=rep1&project=veloroutes&bbox=7.027339,49.099741,7.079862,49.191815&crs=EPSG:4326","('7.027339', '49.099741')","('7.079862', '49.191815')","(7.0536005, 49.145778)",1.59,Bord de rivière ou canal,72.78,62591.0,75,D
76,La trace du Courlis,https://www.af3v.org/les-voies-vertes/voies/291-la-trace-du-courlis,Vaivre et montoille,Chemilly,12.8,Voie verte lisse,Voie ferrée,Enrobé lisse,"https://sig.af3v.org/index.php/view/embed/?repository=rep1&project=veloroutes&bbox=6.018754,47.619229,6.155884,47.655336&crs=EPSG:4326","('6.018754', '47.619229')","('6.155884', '47.655336')","(6.087319000000001, 47.6372825)",1.56,Bord de voie ferrée,73.74,63416.0,76,D
77,"EV3 - Scandibérique / Trans'Oise, de Abbécourt à Sempigny (Noyon)",https://www.af3v.org/les-voies-vertes/voies/367-ev3-scandiberique-trans-oise-de-abbecourt-a-sempigny-noyon,Abbecourt,Sempigny,13.1,Voie verte lisse,Canal,Enrobé lisse,"https://sig.af3v.org/index.php/view/embed/?repository=rep1&project=veloroutes&bbox=2.99098,49.56176,3.1659173810028065,49.582559309317894&crs=EPSG:4326","('2.99098', '49.56176')","('3.1659173810028065', '49.582559309317894')","(3.0784486905014035, 49.57215965465895)",1.53,Bord de rivière ou canal,63.57,54670.0,77,E
78,Trans’Oise de Frétoy-le-Château à Pont-l’Evêque,https://www.af3v.org/les-voies-vertes/voies/406-trans-oise-de-fretoy-le-chateau-a-pont-l-eveque,Fretoy le chateau,Pont l eveque,13.2,Voie verte lisse,Chemin de halage,Enrobé lisse,"https://sig.af3v.org/index.php/view/embed/?repository=rep1&project=veloroutes&bbox=2.939076,49.56572,2.987064,49.660015&crs=EPSG:4326","('2.939076', '49.56572')","('2.987064', '49.660015')","(2.96307, 49.6128675)",1.52,Bord de rivière ou canal,62.36,53630.0,78,E
79,Voie Verte des Hauts de Tardoire,https://www.af3v.org/les-voies-vertes/voies/126-voie-verte-des-hauts-de-tardoire,Chalus,Oradour sur vayres,13.3,Voie verte lisse,Voie ferrée,Enrobé lisse,"https://sig.af3v.org/index.php/view/embed/?repository=rep1&project=veloroutes&bbox=0.870329,45.651998,0.975809,45.729008&crs=EPSG:4326","('0.870329', '45.651998')","('0.975809', '45.729008')","(0.923069, 45.690503)",1.5,Bord de voie ferrée,75.84,65222.0,79,D
80,Piste cyclable du tramway T3 (LEA),https://www.af3v.org/les-voies-vertes/voies/323-piste-cyclable-du-tramway-t3-lea,Lyon 03,Meyzieu,13.3,Voie verte lisse,Voie ferrée,Enrobé lisse,"https://sig.af3v.org/index.php/view/embed/?repository=rep1&project=veloroutes&bbox=4.861464000000001,45.752477999999996,5.01302933443581,45.777563800428894&crs=EPSG:4326","('4.861464000000001', '45.752477999999996')","('5.01302933443581', '45.777563800428894')","(4.937246667217906, 45.765020900214445)",1.5,Bord de voie ferrée,84.73,72868.0,80,C
81,V80 - Voie Verte Etauliers - Blaye,https://www.af3v.org/les-voies-vertes/voies/19-voie-verte-etauliers-blaye-veloroute-v80,Etauliers,Blaye,13.4,Voie verte lisse,Voie ferrée,Enrobé lisse,"https://sig.af3v.org/index.php/view/embed/?repository=rep1&project=veloroutes&bbox=-0.662554,45.129228,-0.574518,45.227483&crs=EPSG:4326","('-0.662554', '45.129228')","('-0.574518', '45.227483')","(-0.618536, 45.178355499999995)",1.49,Bord de voie ferrée,78.91,67863.0,81,D
82,Voie Verte de Perpignan à Ste-Marie-la-Mer,https://www.af3v.org/les-voies-vertes/voies/445-voie-verte-de-perpignan-a-ste-marie-la-mer,Perpignan,Ste marie,13.5,Voie verte lisse,Voie en site propre,Enduit gravillonné,"https://sig.af3v.org/index.php/view/embed/?repository=rep1&project=veloroutes&bbox=2.900195,42.706376,3.027986,42.73154449645307&crs=EPSG:4326","('2.900195', '42.706376')","('3.027986', '42.73154449645307')","(2.9640905, 42.71896024822654)",1.48,Voie verte,107.2,92192.0,82,B
83,Voie Verte Santenay - Nolay,https://www.af3v.org/les-voies-vertes/voies/283-voie-verte-santenay-nolay,Santenay,Nolay,13.6,Voie verte lisse,Voie ferrée,Enrobé lisse,"https://sig.af3v.org/index.php/view/embed/?repository=rep1&project=veloroutes&bbox=4.598647,46.900833,4.69459,46.95812&crs=EPSG:4326","('4.598647', '46.900833')","('4.69459', '46.95812')","(4.6466185, 46.9294765)",1.47,Bord de voie ferrée,78.0,67080.0,83,D
84,V65 - de La Ciotat à Toulon / Parcours cyclable du littoral,https://www.af3v.org/les-voies-vertes/voies/541-v65-de-la-ciotat-a-toulon-parcours-cyclable-du-littoral,Six fours les plages,Toulon,13.6,Voie verte lisse,Voies en site propre 95% ; voies partagées 5%,enrobé lisse,"https://sig.af3v.org/index.php/view/embed/?repository=rep1&project=veloroutes&bbox=5.80835,43.093381,5.9292,43.12702&crs=EPSG:4326","('5.80835', '43.093381')","('5.9292', '43.12702')","(5.868774999999999, 43.110200500000005)",1.47,Voie verte,121.3,104318.0,84,A
85,Piste cyclable Montpellier Carnon,https://www.af3v.org/les-voies-vertes/voies/208-piste-cyclable-montpellier-carnon,Montpellier,Mauguio,13.7,Voie verte lisse,Site propre Piste cyclable pour l’essentiel,Enrobé lisse,"https://sig.af3v.org/index.php/view/embed/?repository=rep1&project=veloroutes&bbox=3.899705,43.545467,3.970912,43.601568&crs=EPSG:4326","('3.899705', '43.545467')","('3.970912', '43.601568')","(3.9353085, 43.5735175)",1.46,Piste cyclable,107.22,92209.0,85,B
86,Voie Verte TCSP Massy- Christ de Saclay,https://www.af3v.org/les-voies-vertes/voies/895-voie-verte-tcsp-massy-christ-de-saclay,Massy,Saclay,13.7,Voie verte lisse,,,"https://sig.af3v.org/index.php/view/embed/?repository=rep1&project=veloroutes&bbox=2.13853,48.71028999999999,2.25137116056997,48.73071999999999&crs=EPSG:4326","('2.13853', '48.71028999999999')","('2.25137116056997', '48.73071999999999')","(2.194950580284985, 48.72050499999999)",1.46,Voie verte,65.46,56296.0,86,E
87,Itinéraire Gilette - La Baronne,https://www.af3v.org/les-voies-vertes/voies/281-itineraire-gilette-la-baronne,Gilette,La gaude,13.8,Voie verte lisse,Français,Enrobé lisse,"https://sig.af3v.org/index.php/view/embed/?repository=rep1&project=veloroutes&bbox=7.179233,43.71966,7.214287,43.82559413396643&crs=EPSG:4326","('7.179233', '43.71966')","('7.214287', '43.82559413396643')","(7.196759999999999, 43.77262706698322)",1.45,Voie verte,109.41,94093.0,87,B
88,Voie Verte de Molsheim à Wasselonne,https://www.af3v.org/les-voies-vertes/voies/52-voie-verte-de-molsheim-a-wasselonne,Molsheim,Wasselonne,14.0,Voie verte lisse,Voie ferrée,Enrobé lisse,"https://sig.af3v.org/index.php/view/embed/?repository=rep1&project=veloroutes&bbox=7.403235,48.568833999999995,7.495011999999999,48.642575999999984&crs=EPSG:4326","('7.403235', '48.568833999999995')","('7.495011999999999', '48.642575999999984')","(7.449123499999999, 48.605704999999986)",1.43,Bord de voie ferrée,74.33,63924.0,88,D
89,Voie Verte du Beaujolais,https://www.af3v.org/les-voies-vertes/voies/127-voie-verte-du-beaujolais,St jean d ardieres,Beaujeu,14.0,Voie verte lisse,Voie ferrée,Enrobé lisse,"https://sig.af3v.org/index.php/view/embed/?repository=rep1&project=veloroutes&bbox=4.59655,46.110589,4.746984,46.149052&crs=EPSG:4326","('4.59655', '46.110589')","('4.746984', '46.149052')","(4.671767, 46.129820499999994)",1.43,Bord de voie ferrée,83.23,71578.0,89,C
90,"EV5 - Via Romea Francigena / Voie Verte de la Lys, de Aire-sur-la-Lys à St-Venant",https://www.af3v.org/les-voies-vertes/voies/614-ev5-via-romea-francigena-voie-verte-de-la-lys-de-aire-sur-la-lys-a-st-venant,Aire sur la lys,St venant,14.2,Voie verte lisse,Chemin de halage,Enrobé et stabilisé,"https://sig.af3v.org/index.php/view/embed/?repository=rep1&project=veloroutes&bbox=2.4060796933008057,50.62540635353338,2.55645166763757,50.650515&crs=EPSG:4326","('2.4060796933008057', '50.62540635353338')","('2.55645166763757', '50.650515')","(2.481265680469188, 50.63796067676669)",1.41,Bord de rivière ou canal,62.68,53905.0,90,E
91,"EV3 - Scandibérique / Voie Verte Galope Chopine, de Reignac à Chevanceaux",https://www.af3v.org/les-voies-vertes/voies/242-scandiberique-voie-verte-galope-chopine-de-reignac-a-chevanceaux,Reignac,Chevanceaux,14.4,Voie verte lisse,Voie ferrée,Enrobé lisse,"https://sig.af3v.org/index.php/view/embed/?repository=rep1&project=veloroutes&bbox=-0.254041924801428,45.31106400000001,-0.179923892623272,45.41961206805681&crs=EPSG:4326","('-0.254041924801428', '45.31106400000001')","('-0.179923892623272', '45.41961206805681')","(-0.21698290871235, 45.36533803402841)",1.39,Bord de voie ferrée,79.81,68637.0,91,D
92,"V43 - La Loire à vélo / VéloFrancette, de Bouchemaine à la Daguenière",https://www.af3v.org/les-voies-vertes/voies/642-la-loire-a-velo-v43-velofrancette-de-bouchemaine-a-la-dagueniere,Bouchemaine,La dagueniere,14.8,Voie verte lisse,Pistes cyclables et sections de routes en voie partagée,Enrobé et stabilisé,"https://sig.af3v.org/index.php/view/embed/?repository=rep1&project=veloroutes&bbox=-0.61036,47.417530999999975,-0.436782,47.430711&crs=EPSG:4326","('-0.61036', '47.417530999999975')","('-0.436782', '47.430711')","(-0.523571, 47.424120999999985)",1.35,Bord de route,68.79,59159.0,92,E
93,V31 / IC42 - Véloroute du Val d'Argent,https://www.af3v.org/les-voies-vertes/voies/454-vv31-et-ic42-veloroute-du-val-d-argent,Ste marie aux mines,Chatenois,14.8,Voie verte lisse,Voies vertes (83%) et routes partagées (17%),Enrobé lisse,"https://sig.af3v.org/index.php/view/embed/?repository=rep1&project=veloroutes&bbox=7.204837,48.254141,7.382072,48.284185&crs=EPSG:4326","('7.204837', '48.254141')","('7.382072', '48.284185')","(7.2934545, 48.269163)",1.35,Bord de route,75.25,64715.0,93,D
94,Piste des plages Bayonne-Anglet (EV1 Vélodyssée),https://www.af3v.org/les-voies-vertes/voies/175-piste-des-plages-bayonne-anglet-ev1-velodyssee,Bayonne,Anglet,15.1,Voie verte lisse,Route,Enrobé lisse,"https://sig.af3v.org/index.php/view/embed/?repository=rep1&project=veloroutes&bbox=-1.566724,43.473032999999994,-1.465291,43.526562&crs=EPSG:4326","('-1.566724', '43.473032999999994')","('-1.465291', '43.526562')","(-1.5160075, 43.4997975)",1.32,Bord de route,86.53,74416.0,94,C
95,"V30 - Voie Verte du canal de la Somme, de St-Valéry/Somme à Abbeville",https://www.af3v.org/les-voies-vertes/voies/55-v30-voie-verte-du-canal-de-la-somme-de-st-valery-somme-a-abbeville,St valery sur somme,Abbeville,15.0,Voie verte lisse,Canal,Enrobé lisse,"https://sig.af3v.org/index.php/view/embed/?repository=rep1&project=veloroutes&bbox=1.6538024471581918,50.103460999999996,1.8260029999999998,50.17446021838862&crs=EPSG:4326","('1.6538024471581918', '50.103460999999996')","('1.8260029999999998', '50.17446021838862')","(1.7399027235790958, 50.13896060919431)",1.33,Bord de rivière ou canal,69.08,59409.0,95,E
96,Voie Verte de Lembach à Durrenbach,https://www.af3v.org/les-voies-vertes/voies/50-voie-verte-de-lembach-a-durrenbach,Lembach,Durrenbach,15.4,Voie verte lisse,Voie ferrée,Enrobé lisse,"https://sig.af3v.org/index.php/view/embed/?repository=rep1&project=veloroutes&bbox=7.742193999999999,48.90004799999999,7.782397,49.045549586704894&crs=EPSG:4326","('7.742193999999999', '48.90004799999999')","('7.782397', '49.045549586704894')","(7.762295499999999, 48.97279879335244)",1.3,Bord de voie ferrée,73.41,63133.0,96,D
97,"EV5 - Via Romea Francigena / Voie Verte du Canal de la Sarre, de Mittersheim à Gondrexange",https://www.af3v.org/les-voies-vertes/voies/700-ev5-via-romea-francigena-voie-verte-du-canal-de-la-sarre-de-mittersheim-a-gondrexange,Mittersheim,Gondrexange,15.5,Voie verte lisse,Chemin de halage,Bitume,"https://sig.af3v.org/index.php/view/embed/?repository=rep1&project=veloroutes&bbox=6.909569,48.69911099999999,6.942539,48.86482995577035&crs=EPSG:4326","('6.909569', '48.69911099999999')","('6.942539', '48.86482995577035')","(6.926054000000001, 48.78197047788517)",1.29,Bord de rivière ou canal,71.86,61800.0,97,D
98,Voie Verte de la vallée de l'Amezule,https://www.af3v.org/les-voies-vertes/voies/278-voie-verte-de-la-vallee-de-l-amezule,Lay st christophe,Champenoux,15.7,Voie verte lisse,Voie ferrée,Enrobé lisse,"https://sig.af3v.org/index.php/view/embed/?repository=rep1&project=veloroutes&bbox=6.182283361008255,48.738005999999984,6.3616150000000005,48.773003999999986&crs=EPSG:4326","('6.182283361008255', '48.738005999999984')","('6.3616150000000005', '48.773003999999986')","(6.271949180504128, 48.755504999999985)",1.27,Bord de voie ferrée,72.18,62075.0,98,D
